Parameter,Value,Run,Default_Cost,Optimized_Cost,Improvement_%,Default_Time,Optimized_Time,Time_Improvement_%,Vehicles_Completed,Completion_Rate_%,Elapsed_Time_s
n_ants,5,1,19644.0,32713.0,-66.52922011810222,17664.0,27133.0,-53.60620471014492,200,100.0,16.65293025970459
n_ants,5,2,19644.0,32124.0,-63.530849114233355,17664.0,25074.0,-41.94972826086957,200,100.0,18.05008363723755
n_ants,10,1,19644.0,31510.0,-60.40521278761963,17664.0,25480.0,-44.2481884057971,200,100.0,41.030062198638916
n_ants,10,2,19644.0,32875.0,-67.3538994094889,17664.0,25555.0,-44.672780797101446,200,100.0,35.22972345352173
n_ants,15,1,19644.0,29439.0,-49.86255345143555,17664.0,24399.0,-38.12839673913043,200,100.0,33.68292832374573
n_ants,15,2,19644.0,33224.0,-69.13052331500712,17664.0,26474.0,-49.875452898550726,200,100.0,39.37957429885864
n_ants,20,1,19644.0,30050.0,-52.9729179393199,17664.0,24410.0,-38.19067028985507,200,100.0,42.66853642463684
n_ants,20,2,19644.0,28422.0,-44.68540012217471,17664.0,23082.0,-30.672554347826086,200,100.0,41.44620203971863
n_ants,25,1,19644.0,29153.0,-48.40663815923437,17664.0,23483.0,-32.94270833333333,200,100.0,51.440006494522095
n_ants,25,2,19644.0,30317.0,-54.33211158623499,17664.0,23837.0,-34.94678442028986,200,100.0,56.401179790496826
n_ants,30,1,19644.0,27979.0,-42.43025860313582,17664.0,23629.0,-33.7692481884058,200,100.0,65.19813537597656
n_ants,30,2,19644.0,30453.0,-55.024434941967016,17664.0,24723.0,-39.96263586956522,200,100.0,69.73510408401489
